disease,symptom,importance
stroke,unsteadiness,0.008
stroke,rapid involuntary eye movement,0.008
stroke,memory loss,0.007
stroke,clumsiness,0.007
stroke,lesion,0.007
stroke,drooling,0.006
tension headache,headache,0.613
tension headache,pain,0.227
tension headache,nausea,0.149
tension headache,neck pain,0.123
tension headache,dizziness,0.119
tension headache,sensitivity to light,0.071
tension headache,lightheadedness,0.057
tension headache,anxiety,0.042
tension headache,stiffness,0.04
tension headache,chills,0.037
tension headache,ache,0.036
tension headache,blurred vision,0.036
tension headache,vertigo,0.032
tension headache,racing heartbeat,0.03
tension headache,weakness,0.024
tension headache,rapid involuntary eye movement,0.022
tension headache,fainting,0.02
tension headache,poor appetite,0.018
tension headache,nasal congestion,0.017
tension headache,vision loss,0.017
tension headache,foot pain,0.016
tension headache,insomnia,0.016
thoracic radiculopathy,pain,0.621
thoracic radiculopathy,back pain,0.477
thoracic radiculopathy,numbness,0.335
thoracic radiculopathy,weakness,0.229
thoracic radiculopathy,leg pain,0.169
thoracic radiculopathy,hip pain,0.098
thoracic radiculopathy,chronic back pain,0.098
thoracic radiculopathy,incontinence,0.061
thoracic radiculopathy,foot numbness,0.054
thoracic radiculopathy,leg numbness,0.053
thoracic radiculopathy,pins and needles,0.038
thoracic radiculopathy,severe pain,0.034
thoracic radiculopathy,sharp pain,0.025
thoracic radiculopathy,tenderness,0.024
thoracic radiculopathy,leaking of urine,0.023
thoracic radiculopathy,difficulty walking,0.023
thoracic radiculopathy,difficulty raising the foot,0.022
thoracic radiculopathy,knee pain,0.018
thoracic radiculopathy,flank pain,0.016
thyroid cancer,nausea,0.097
thyroid cancer,weakness,0.067
thyroid cancer,headache,0.064
thyroid cancer,coughing,0.05
thyroid cancer,fever,0.044
thyroid cancer,diarrhea,0.042
thyroid cancer,chills,0.042
thyroid cancer,dizziness,0.039
thyroid cancer,lethargy,0.037
thyroid cancer,fatigue,0.035
thyroid cancer,numbness,0.03
thyroid cancer,vomiting,0.03
thyroid cancer,racing heartbeat,0.026
thyroid cancer,difficulty swallowing,0.023
thyroid nodules,pain,0.085
thyroid nodules,back pain,0.065
thyroid nodules,discomfort,0.055
thyroid nodules,fainting,0.051
thyroid nodules,bone loss,0.04
thyroid nodules,dizziness,0.039
thyroid nodules,difficulty swallowing,0.036
thyroid nodules,lump,0.036
thyroid nodules,swelling,0.031
thyroid nodules,racing heartbeat,0.031
thyroid nodules,headache,0.031
thyroid nodules,neck pain,0.027
traumatic brain injury,headache,0.135
traumatic brain injury,dizziness,0.06
traumatic brain injury,seizures,0.059
traumatic brain injury,fainting,0.051
traumatic brain injury,nausea,0.048
traumatic brain injury,tenderness,0.042
traumatic brain injury,bruising,0.041
traumatic brain injury,falling,0.039
traumatic brain injury,neck pain,0.038
traumatic brain injury,confusion,0.032
traumatic brain injury,bleeding,0.029
traumatic brain injury,mental confusion,0.027
traumatic brain injury,blurred vision,0.026
traumatic brain injury,vomiting,0.016
traumatic brain injury,agitation,0.014
traumatic brain injury,slurred speech,0.012
traumatic brain injury,vertigo,0.011
traumatic brain injury,double vision,0.01
traumatic brain injury,memory loss,0.01
traumatic brain injury,sensitivity to light,0.01
traumatic brain injury,unsteady gait,0.008
traumatic brain injury,amnesia,0.008
traumatic brain injury,persistent headache,0.008
traumatic brain injury,problems with coordination,0.007
traumatic brain injury,severe headache,0.007
traumatic brain injury,difficulty concentrating,0.006
traumatic brain injury,lightheadedness,0.006
traumatic brain injury,rapid involuntary eye movement,0.006
traumatic brain injury,elbow pain,0.006
traumatic brain injury,stiffness,0.004
traumatic brain injury,eye pain,0.004
traumatic brain injury,jaw pain,0.004
traumatic brain injury,rib pain,0.004
traumatic brain injury,malnutrition,0.003
traumatic brain injury,sleepiness,0.003
traumatic brain injury,paralysis,0.003
traumatic brain injury,shoulder pain,0.003
traumatic brain injury,brief visual or sensory abnormality,0.003
traumatic brain injury,substance abuse,0.003
type 1 diabetes,nausea,0.043
type 1 diabetes,vomiting,0.039
type 1 diabetes,infection,0.023
type 1 diabetes,chills,0.022
type 1 diabetes,lethargy,0.019
type 1 diabetes,weakness,0.018
type 1 diabetes,diarrhea,0.015
type 1 diabetes,excess urination,0.012
type 1 diabetes,fatigue,0.012
type 1 diabetes,fever,0.009
type 1 diabetes,dizziness,0.009
type 1 diabetes,excess thirst,0.008
type 1 diabetes,pain during urination,0.008
type 1 diabetes,increased thirst,0.007
type 1 diabetes,shortness of breath,0.007
type 1 diabetes,foot pain,0.007
type 1 diabetes,abdominal pain,0.006
type 1 diabetes,malaise,0.006
type 1 diabetes,kidney failure,0.006
type 1 diabetes,coughing,0.006
type 1 diabetes,thirst,0.006
type 1 diabetes,depression,0.006
type 2 diabetes,weakness,0.029
type 2 diabetes,infection,0.014
type 2 diabetes,lethargy,0.013
type 2 diabetes,dizziness,0.012
type 2 diabetes,fatigue,0.009
type 2 diabetes,redness,0.008
type 2 diabetes,excess urination,0.007
type 2 diabetes,confusion,0.006
type 2 diabetes,leg pain,0.005
type 2 diabetes,foot pain,0.005
type 2 diabetes,shortness of breath,0.005
type 2 diabetes,mental confusion,0.005
type 2 diabetes,low blood pressure,0.004
type 2 diabetes,excess thirst,0.004
type 2 diabetes,coughing,0.003
type 2 diabetes,increased thirst,0.003
type 2 diabetes,malaise,0.003
ulcerative colitis,pain,0.414
ulcerative colitis,diarrhea,0.278
ulcerative colitis,abdominal pain,0.248
ulcerative colitis,nausea,0.228
ulcerative colitis,acute episodes,0.215
ulcerative colitis,vomiting,0.097
ulcerative colitis,cramping,0.084
ulcerative colitis,fever,0.082
ulcerative colitis,chills,0.066
ulcerative colitis,blood in stool,0.038
ulcerative colitis,bleeding from anus,0.035
ulcerative colitis,tenderness,0.033
ulcerative colitis,lower abdominal pain,0.028
ulcerative colitis,scarring within the bile ducts,0.027
ulcerative colitis,weight loss,0.024
ulcerative colitis,fatigue,0.023
ulcerative colitis,lethargy,0.019
ulcerative colitis,bowel obstruction,0.019
ulcerative colitis,rectal pain,0.019
ulcerative colitis,dehydration,0.019
ulcerative colitis,infection,0.018
ulcerative colitis,bleeding,0.018
ulcerative colitis,fast heart rate,0.018
ulcerative colitis,lightheadedness,0.016
ulcerative colitis,discomfort,0.013
ulcerative colitis,constipation,0.013
upper respiratory infection,coughing,0.503
upper respiratory infection,fever,0.187
upper respiratory infection,sore throat,0.165
upper respiratory infection,cough with phlegm,0.163
upper respiratory infection,shortness of breath,0.148
upper respiratory infection,chills,0.124
upper respiratory infection,runny nose,0.094
upper respiratory infection,wheezing,0.08
upper respiratory infection,nasal congestion,0.074
upper respiratory infection,headache,0.061
upper respiratory infection,ear pain,0.046
upper respiratory infection,dry cough,0.041
upper respiratory infection,vertigo,0.038
upper respiratory infection,redness,0.037
upper respiratory infection,leaking of urine,0.032
upper respiratory infection,mild cough,0.028
upper respiratory infection,malaise,0.027
upper respiratory infection,sneezing,0.027
upper respiratory infection,pain during urination,0.026
upper respiratory infection,loss of appetite,0.026
upper respiratory infection,lethargy,0.025
upper respiratory infection,fatigue,0.024
upper respiratory infection,chest pressure,0.024
upper respiratory infection,acute episodes,0.024
upper respiratory infection,tenderness,0.024
urinary tract infection,blood in urine,0.146
urinary tract infection,pain during urination,0.146
urinary tract infection,fever,0.071
urinary tract infection,chills,0.045
urinary tract infection,flank pain,0.043
urinary tract infection,urinary retention,0.043
urinary tract infection,confusion,0.034
urinary tract infection,lethargy,0.028
urinary tract infection,weakness,0.028
urinary tract infection,pain in lower abdomen,0.022
urinary tract infection,mental confusion,0.021
urinary tract infection,infection,0.021
urinary tract infection,discomfort,0.02
urinary tract infection,nausea,0.015
urinary tract infection,abdominal pain,0.013
urinary tract infection,constipation,0.011
urinary tract infection,diarrhea,0.011
urinary tract infection,cloudy urine,0.01
urinary tract infection,frequent urge to urinate,0.01
urinary tract infection,fatigue,0.01
urinary tract infection,low blood pressure,0.01
urinary tract infection,incontinence,0.01
urinary tract infection,leaking of urine,0.009
urinary tract infection,malaise,0.009
urinary tract infection,foul smelling urine,0.008
urinary tract infection,back pain,0.008
urinary tract infection,lower abdominal pain,0.008
urinary tract infection,pelvic pain,0.008
urinary tract infection,tenderness,0.007
urinary tract infection,dehydration,0.006
urinary tract infection,dark urine,0.005
urinary tract infection,abdominal discomfort,0.005
urinary tract infection,vaginal discharge,0.004
urinary tract infection,fast heart rate,0.004
urinary tract infection,frequent urination,0.004
urinary tract infection,groin pain,0.004
vitamin d deficiency,depression,0.119
vitamin d deficiency,sadness,0.118
vitamin d deficiency,malnutrition,0.096
vitamin d deficiency,anxiety,0.075
vitamin d deficiency,bone loss,0.056
vitamin d deficiency,seizures,0.055
vitamin d deficiency,diarrhea,0.046
vitamin d deficiency,vomiting,0.042
vitamin d deficiency,weight loss,0.031
vitamin d deficiency,dizziness,0.028
vitamin d deficiency,dehydration,0.027
vitamin d deficiency,infection,0.023
vitamin d deficiency,insomnia,0.021
vitamin d deficiency,fast heart rate,0.02
vitamin d deficiency,leaking of urine,0.019
